City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
0,Cape Town,ZA,59.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
3,Yellowknife,CA,63.12,overcast clouds,62.456,-114.3525,The Explorer Hotel
4,Port Alfred,ZA,59.43,overcast clouds,-33.5906,26.891,The Halyards Hotel
10,Yulara,AU,51.76,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
16,Dubrovytsya,UA,64.09,clear sky,51.5744,26.565,Druzhba
17,Kruisfontein,ZA,52.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
22,Busselton,AU,57.13,overcast clouds,-33.65,115.3333,Observatory Guest House
24,Kodiak,US,54.91,mist,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
26,Hermanus,ZA,53.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Codrington,AU,57.47,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
29,Berezovyy,RU,60.93,clear sky,51.6667,135.7,"Hotel ""Phoenix"""
31,Ereymentau,KZ,61.03,few clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
32,Grindavik,IS,53.55,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
44,Severo-Kurilsk,RU,51.75,light rain,50.6789,156.125,Kak Doma
60,Rumoi,JP,64.18,overcast clouds,43.9344,141.6428,Business Hotel R-Inn
78,Saskylakh,RU,59.81,overcast clouds,71.9167,114.0833,
81,Sovetskaya Gavan,RU,58.12,scattered clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
85,Chokurdakh,RU,55.2,overcast clouds,70.6333,147.9167,
98,Tavricheskoye,RU,57.11,few clouds,54.5851,73.6395,Prodayotsya Kotedzh
102,Tsabong,BW,58.98,broken clouds,-26.0217,22.401,Springbok Motel
107,Hammerfest,NO,50.45,few clouds,70.6634,23.6821,Skytterhuset
108,East London,ZA,54.54,clear sky,-33.0153,27.9116,Tu Casa
110,Port Lincoln,AU,55.83,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
112,Vardo,NO,51.78,few clouds,70.3705,31.1107,Vardø Hotel AS
115,Smithers,CA,59.32,light rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
119,Mufumbwe,ZM,60.13,clear sky,-13.6833,24.8,
122,Airai,TL,53.46,scattered clouds,-8.9266,125.4092,
126,Vostok,RU,58.01,overcast clouds,46.4856,135.8833,
127,Kyzyl-Mazhalyk,RU,54.43,broken clouds,51.1333,90.6,
128,Abalak,RU,57.07,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
135,Tornio,FI,64.42,few clouds,65.8481,24.1466,Park Hotel Tornio
146,Lerwick,GB,55.4,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
153,Nikolsk,RU,64.31,clear sky,53.7189,46.0712,Гостиница Центральная
162,Elbrus,RU,51.08,overcast clouds,43.2577,42.6443,Otel' Pik Yevropy
165,Verkhnevilyuysk,RU,61.47,broken clouds,63.4453,120.3167,Gostinitsa Mila
169,Aksarka,RU,50.77,broken clouds,66.5606,67.7975,
171,Bure,ET,55.83,overcast clouds,10.7,37.0667,Holiday
173,Kalulushi,ZM,63.81,scattered clouds,-12.8378,28.0919,Nobutula Lodge
180,Chuy,UY,64.83,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
185,Taltal,CL,60.62,few clouds,-25.4,-70.4833,Residencial Karime
186,Ust-Omchug,RU,52.86,overcast clouds,61.15,149.6333,
189,Alofi,NU,60.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
195,Ketchikan,US,57.67,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
199,Narsaq,GL,61.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
203,Chumikan,RU,53.38,scattered clouds,54.7183,135.315,Fortuna
211,Namibe,AO,64.02,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
216,Constitucion,CL,55.13,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
217,Port Elizabeth,ZA,55.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
229,Chimoio,MZ,61.32,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
230,Sitka,US,57.09,light rain,57.0531,-135.33,Westmark Sitka
231,Svetlogorsk,BY,62.83,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
232,Igarka,RU,52.36,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
235,Kipushi,CD,62.98,scattered clouds,-11.7667,27.2333,Villa Madimba
239,Urengoy,RU,51.55,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
240,Coquimbo,CL,56.93,broken clouds,-29.9533,-71.3436,Hotel San Juan
243,Sorland,NO,53.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
247,Koslan,RU,52.23,overcast clouds,63.4564,48.8989,
248,Osorno,CL,50.31,light rain,-40.5667,-73.15,Sonesta Hotel Osorno
252,Verkh-Usugli,RU,58.96,light rain,52.7,115.1667,"Gostinitsa ""Sever"""
253,Batagay-Alyta,RU,53.62,broken clouds,67.8006,130.4114,
257,Esperance,AU,52.29,overcast clouds,-33.8667,121.9,Hospitality Esperance
259,Mar Del Plata,AR,53.1,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
278,Baoshan,CN,62.73,overcast clouds,46.5586,131.4244,Kelaixiang Restaurant
280,Port Hedland,AU,59.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
281,Svetlaya,RU,59.97,few clouds,46.5389,138.3297,
282,Kenora,CA,59.97,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
283,Ostrovnoy,RU,50.27,overcast clouds,68.0531,39.5131,
287,Fortuna,US,61.66,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
299,Aklavik,CA,50.0,shower rain,68.2191,-135.0107,Aklavik Inn
301,Carnarvon,AU,58.68,clear sky,-24.8667,113.6333,Hospitality Carnarvon
303,Gornopravdinsk,RU,58.86,overcast clouds,60.05,69.9,Hostel
308,Cherskiy,RU,52.38,overcast clouds,68.75,161.3,Gostinitsa
313,Nizhnevartovsk,RU,53.62,clear sky,60.9344,76.5531,Luch
315,Petropavlovsk-Kamchatskiy,RU,50.59,light intensity shower rain,53.0452,158.6483,The Hotel Petropavlovsky
316,Vestmannaeyjar,IS,52.79,broken clouds,63.4427,-20.2734,Glamping & Camping
320,Klaksvik,FO,52.72,light rain,62.2266,-6.589,Airbnb rooms
331,Preobrazheniye,RU,62.08,broken clouds,42.9019,133.9064,Campsite Orlan
332,Talaya,RU,50.2,scattered clouds,61.3833,152.75,
333,Wakkanai,JP,64.2,overcast clouds,45.4094,141.6739,Hyōsetsu-sō
346,Whitehorse,CA,50.77,light intensity shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
348,Ahipara,NZ,60.76,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
350,Balykshi,KZ,64.4,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
351,Anchorage,US,61.65,overcast clouds,61.2181,-149.9003,Hotel Captain Cook
354,Belaya Gora,RU,59.47,broken clouds,68.5333,146.4167,
355,Mount Gambier,AU,52.7,light rain,-37.8333,140.7667,The Commodore
364,Pisco,PE,64.45,mist,-13.7,-76.2167,Hotel San Isidro Oficial
365,Talnakh,RU,60.21,few clouds,69.4865,88.3972,Talnakh Hotel
367,Nakambala,ZM,62.58,clear sky,-15.8324,27.7799,Staff Area
