City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
0,Cape Town,ZA,-33.9258,18.4232,59.38,71,0,11.99,clear sky
1,Kieta,PG,-6.2167,155.6333,78.24,84,6,4.25,clear sky
2,Goundam,ML,16.4145,-3.6708,85.41,44,100,4.68,overcast clouds
3,Yellowknife,CA,62.456,-114.3525,63.12,77,100,9.22,overcast clouds
4,Port Alfred,ZA,-33.5906,26.891,59.43,56,94,8.66,overcast clouds
5,Ponta Do Sol,PT,32.6667,-17.1,85.12,52,2,2.21,clear sky
6,Karasjok,NO,69.4719,25.5112,49.75,87,100,2.95,overcast clouds
7,Kutum,SD,14.2,24.6667,88.38,22,91,4.9,overcast clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,87,100,6.91,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,75.0,80,24,15.14,few clouds
10,Yulara,AU,-25.2406,130.9889,51.76,72,0,9.19,clear sky
11,Dikson,RU,73.5069,80.5464,46.08,85,100,17.94,overcast clouds
12,Butaritari,KI,3.0707,172.7902,82.4,68,3,22.46,clear sky
13,Ushuaia,AR,-54.8,-68.3,37.02,64,0,6.91,clear sky
14,Asau,RO,46.4333,26.4,67.28,96,100,2.39,overcast clouds
15,Vaini,TO,-21.2,-175.2,71.76,78,40,6.91,scattered clouds
16,Dubrovytsya,UA,51.5744,26.565,64.09,76,0,10.63,clear sky
17,Kruisfontein,ZA,-34.0033,24.7314,52.88,87,9,6.06,clear sky
18,Corn Island,NI,12.1694,-83.0418,80.91,81,71,15.75,broken clouds
19,Mahebourg,MU,-20.4081,57.7,68.29,77,75,8.05,broken clouds
20,Atuona,PF,-9.8,-139.0333,77.05,65,65,19.06,broken clouds
21,San Lawrenz,MT,36.0553,14.204,81.81,77,0,12.55,clear sky
22,Busselton,AU,-33.65,115.3333,57.13,74,100,14.05,overcast clouds
23,Bethel,US,41.3712,-73.414,95.18,49,0,13.8,clear sky
24,Kodiak,US,57.79,-152.4072,54.91,88,100,12.66,mist
25,Letka,RU,59.6011,49.4232,65.77,78,7,4.09,clear sky
26,Hermanus,ZA,-34.4187,19.2345,53.8,79,0,12.88,clear sky
27,Tual,ID,-5.6667,132.75,78.64,87,100,17.56,overcast clouds
28,Codrington,AU,-38.2667,141.9667,57.47,69,100,12.64,overcast clouds
29,Berezovyy,RU,51.6667,135.7,60.93,94,2,3.44,clear sky
30,Jamestown,US,42.097,-79.2353,85.95,70,75,9.22,broken clouds
31,Ereymentau,KZ,51.6199,73.1033,61.03,61,19,3.4,few clouds
32,Grindavik,IS,63.8424,-22.4338,53.55,87,75,9.22,broken clouds
33,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,75,8.05,broken clouds
34,Hilo,US,19.7297,-155.09,81.28,70,75,3.0,broken clouds
35,Zaranj,AF,30.9667,61.8833,100.36,23,78,7.99,broken clouds
36,Mataura,NZ,-46.1927,168.8643,33.15,96,43,2.62,scattered clouds
