City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Jamestown,US,42.097,-79.2353,65.55,91,95,9.64,overcast clouds
1,Brooks,CA,50.5834,-111.8851,78.78,46,9,4.61,clear sky
2,Mataura,NZ,-46.1927,168.8643,41.49,66,63,1.36,broken clouds
3,Chokurdakh,RU,70.6333,147.9167,61.25,41,88,11.99,overcast clouds
4,Yulara,AU,-25.2406,130.9889,64.9,28,0,16.04,clear sky
5,Umm Kaddadah,SD,13.6017,26.6876,84.09,56,51,15.88,broken clouds
6,Port Macquarie,AU,-31.4333,152.9167,61.9,72,82,8.08,broken clouds
7,Saint-Augustin,CA,51.226,-58.6502,60.87,90,64,4.18,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,52.18,86,79,8.99,light rain
9,Georgetown,MY,5.4112,100.3354,77.9,97,20,4.61,few clouds
10,Ushuaia,AR,-54.8,-68.3,35.26,75,100,16.11,light snow
11,Caravelas,BR,-17.7125,-39.2481,70.29,76,0,6.51,clear sky
12,Kruisfontein,ZA,-34.0033,24.7314,50.88,84,53,14.94,light rain
13,Rikitea,PF,-23.1203,-134.9692,73.22,62,1,7.85,clear sky
14,Lagoa,PT,39.05,-27.9833,72.36,91,24,10.07,few clouds
15,Hilo,US,19.7297,-155.09,83.28,96,87,3.0,moderate rain
16,Guangshui,CN,31.6199,113.9978,77.72,78,2,3.02,clear sky
17,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,11.5,light rain
18,Albany,US,42.6001,-73.9662,78.57,54,36,3.0,scattered clouds
19,Castro,BR,-24.7911,-50.0119,58.98,68,100,2.59,overcast clouds
20,Khatanga,RU,71.9667,102.5,61.32,67,12,12.39,few clouds
21,Bredasdorp,ZA,-34.5322,20.0403,50.49,73,42,2.3,scattered clouds
22,Kokopo,PG,-4.352,152.2633,85.42,63,31,14.92,scattered clouds
23,Chuy,UY,-33.6971,-53.4616,60.66,93,84,5.08,broken clouds
24,Fomboni,KM,-12.28,43.7425,74.77,74,54,7.02,broken clouds
25,Santa Clara,CU,22.4,-79.9667,78.35,85,98,9.04,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,35.71,75,0,18.41,clear sky
27,East London,ZA,-33.0153,27.9116,57.36,65,56,21.09,broken clouds
28,Victoria,HK,22.2855,114.1577,89.96,77,8,5.01,clear sky
29,Anchorage,US,61.2181,-149.9003,65.57,54,100,18.01,overcast clouds
30,Andenes,NO,69.3143,16.1194,49.98,81,100,8.05,overcast clouds
