City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vila Do Maio,15.1333,-23.2167,77.04,77,49,3.31,CV,2022-07-22 21:08:50
1,Provideniya,64.3833,-173.3,48.02,65,63,9.19,RU,2022-07-22 21:05:58
2,Walvis Bay,-22.9575,14.5053,58.08,56,0,8.81,NA,2022-07-22 21:08:10
3,Tukrah,32.5341,20.5791,77.99,83,0,10.42,LY,2022-07-22 21:08:51
4,Samarai,-10.6167,150.6667,79.45,81,32,4.29,PG,2022-07-22 21:08:51
5,Kilindoni,-7.9139,39.6668,75.6,75,0,16.71,TZ,2022-07-22 21:08:52
6,Ushuaia,-54.8,-68.3,32.85,95,93,8.14,AR,2022-07-22 21:04:01
7,La Ronge,55.1001,-105.2842,51.46,80,100,9.1,CA,2022-07-22 21:08:53
8,Darhan,49.4867,105.9228,55.06,92,100,4.7,MN,2022-07-22 21:08:53
9,Hami,42.8,93.45,78.85,19,0,0.87,CN,2022-07-22 21:08:53
10,Mataura,-46.1927,168.8643,33.48,96,15,2.91,NZ,2022-07-22 21:03:59
11,Kavieng,-2.5744,150.7967,81.63,78,32,10.58,PG,2022-07-22 21:08:54
12,Saint-Joseph,-21.3667,55.6167,64.2,80,18,13.56,RE,2022-07-22 21:04:30
13,Qaanaaq,77.484,-69.3632,40.05,92,100,7.29,GL,2022-07-22 21:04:48
14,Yellowknife,62.456,-114.3525,64.06,50,63,10.83,CA,2022-07-22 21:08:55
15,Mount Gambier,-37.8333,140.7667,50.95,97,100,8.7,AU,2022-07-22 21:08:56
16,Vaini,-21.2,-175.2,75.36,94,20,11.5,TO,2022-07-22 21:08:56
17,Airai,-8.9266,125.4092,51.57,78,99,2.98,TL,2022-07-22 21:08:57
18,Mehamn,71.0357,27.8492,53.55,87,75,12.66,NO,2022-07-22 21:08:57
19,Neuquen,-38.9516,-68.0591,51.69,46,0,6.91,AR,2022-07-22 21:08:58
20,Jamestown,42.097,-79.2353,86.02,46,0,14.97,US,2022-07-22 21:08:58
21,Katsuura,35.1333,140.3,78.3,84,0,18.68,JP,2022-07-22 21:06:10
22,Kahului,20.8947,-156.47,87.82,59,20,19.57,US,2022-07-22 21:08:59
23,Padang,-0.9492,100.3543,77.95,86,97,4.34,ID,2022-07-22 21:08:59
24,Albany,42.6001,-73.9662,91.45,46,36,12.06,US,2022-07-22 21:04:03
25,New Norfolk,-42.7826,147.0587,49.91,85,100,2.3,AU,2022-07-22 21:09:00
26,Mount Isa,-20.7333,139.5,38.97,70,0,0.0,AU,2022-07-22 21:09:00
27,Saint-Leu,-21.15,55.2833,69.31,70,2,1.43,RE,2022-07-22 21:09:01
28,Broken Hill,-31.95,141.4333,54.82,69,99,9.33,AU,2022-07-22 21:06:15
29,Te Anau,-45.4167,167.7167,32.74,93,74,1.7,NZ,2022-07-22 21:09:02
30,Maningrida,-12.0667,134.2667,51.84,68,35,8.79,AU,2022-07-22 21:09:02
31,Puerto Ayora,-0.7393,-90.3518,80.56,86,49,8.01,EC,2022-07-22 21:09:03
32,Ulladulla,-35.35,150.4667,51.17,91,87,6.78,AU,2022-07-22 21:09:03
33,Shingu,33.7333,135.9833,74.01,84,0,4.56,JP,2022-07-22 21:09:04
34,Lewistown,40.5992,-77.5714,95.2,67,0,11.5,US,2022-07-22 21:09:03
35,Bloemfontein,-29.1211,26.214,51.42,48,4,6.87,ZA,2022-07-22 21:06:41
36,Hermanus,-34.4187,19.2345,54.81,88,100,13.51,ZA,2022-07-22 21:09:05
37,Pisco,-13.7,-76.2167,60.85,82,100,8.05,PE,2022-07-22 21:08:35
38,Avarua,-21.2078,-159.775,78.85,78,68,5.75,CK,2022-07-22 21:09:05
39,Opuwo,-18.0607,13.84,63.12,28,0,5.5,NA,2022-07-22 21:09:06
40,Kununurra,-15.7667,128.7333,51.78,87,41,0.0,AU,2022-07-22 21:09:06
41,Chuy,-33.6971,-53.4616,55.26,97,87,4.88,UY,2022-07-22 21:09:07
42,Rikitea,-23.1203,-134.9692,72.37,75,100,9.82,PF,2022-07-22 21:09:08
43,Kasane,-17.8167,25.15,61.79,54,68,6.96,BW,2022-07-22 21:09:08
44,Port-Gentil,-0.7193,8.7815,75.16,78,20,12.66,GA,2022-07-22 21:09:09
45,Saint-Philippe,-21.3585,55.7679,65.21,84,43,14.36,RE,2022-07-22 21:09:09
46,Cape Town,-33.9258,18.4232,58.1,90,100,3.0,ZA,2022-07-22 21:09:10
47,Bethel,41.3712,-73.414,94.01,48,75,5.75,US,2022-07-22 21:09:10
48,Nikolskoye,59.7035,30.7861,71.49,72,17,6.33,RU,2022-07-22 21:09:11
49,Shache,38.4167,77.2406,80.83,14,0,3.02,CN,2022-07-22 21:10:11
50,Tasiilaq,65.6145,-37.6368,37.56,70,34,7.9,GL,2022-07-22 21:10:12
51,Arraial Do Cabo,-22.9661,-42.0278,71.46,88,0,11.5,BR,2022-07-22 21:07:22
52,Port Elizabeth,-33.918,25.5701,58.32,79,100,5.99,ZA,2022-07-22 21:09:39
53,Nago,26.5881,127.9761,84.63,86,83,10.47,JP,2022-07-22 21:10:13
54,Caucaia,-3.7361,-38.6531,80.04,76,0,11.5,BR,2022-07-22 21:10:13
55,Ouesso,1.6136,16.0517,70.52,98,100,2.42,CG,2022-07-22 21:10:14
56,Tornio,65.8481,24.1466,55.42,77,100,5.88,FI,2022-07-22 21:10:14
57,Anadyr,64.75,177.4833,48.49,75,96,2.35,RU,2022-07-22 21:10:15
58,Punta Arenas,-53.15,-70.9167,39.11,75,0,12.66,CL,2022-07-22 21:10:15
59,Alice Springs,-23.7,133.8833,44.15,53,0,0.0,AU,2022-07-22 21:10:16
60,Bredasdorp,-34.5322,20.0403,55.27,86,100,10.04,ZA,2022-07-22 21:10:16
61,Carnarvon,-24.8667,113.6333,62.44,66,0,11.14,AU,2022-07-22 21:10:17
62,Kapaa,22.0752,-159.319,82.72,69,75,16.11,US,2022-07-22 21:10:18
63,Port Alfred,-33.5906,26.891,63.5,64,100,10.0,ZA,2022-07-22 21:10:18
64,Dikson,73.5069,80.5464,51.19,79,80,13.8,RU,2022-07-22 21:10:19
65,Sorong,-0.8833,131.25,76.64,89,84,10.0,ID,2022-07-22 21:10:19
66,Barrow,71.2906,-156.7887,41.02,87,100,11.5,US,2022-07-22 21:10:20
67,Tucuma,-0.1833,-50.05,81.19,77,95,3.78,BR,2022-07-22 21:10:20
68,Labuhan,-6.8844,112.2051,74.84,85,52,7.07,ID,2022-07-22 21:10:21
69,Leningradskiy,69.3833,178.4167,35.92,88,96,8.03,RU,2022-07-22 21:10:21
70,Bengkulu,-3.8004,102.2655,75.09,88,90,4.16,ID,2022-07-22 21:10:22
71,Namatanai,-3.6667,152.4333,79.2,76,9,6.31,PG,2022-07-22 21:10:23
72,Bambous Virieux,-20.3428,57.7575,68.22,77,10,16.33,MU,2022-07-22 21:10:23
73,Bluff,-46.6,168.3333,33.8,85,10,7.27,NZ,2022-07-22 21:10:24
74,Bintulu,3.1667,113.0333,76.26,91,87,4.12,MY,2022-07-22 21:10:24
75,Epitalion,37.6333,21.5,79.29,64,0,1.57,GR,2022-07-22 21:10:25
76,Korla,41.7597,86.1469,80.98,23,0,4.14,CN,2022-07-22 21:10:25
77,Grajewo,53.6473,22.4554,66.78,94,30,8.03,PL,2022-07-22 21:10:26
78,Baculin,7.4525,126.5842,78.13,84,97,3.69,PH,2022-07-22 21:10:27
79,Berlevag,70.8578,29.0864,53.6,82,75,14.97,NO,2022-07-22 21:10:27
80,Kaliwungu,-6.9615,110.2531,78.75,83,98,2.3,ID,2022-07-22 21:10:28
81,Butaritari,3.0707,172.7902,80.67,79,21,8.61,KI,2022-07-22 21:10:28
82,Tsabong,-26.0217,22.401,62.87,35,5,6.55,BW,2022-07-22 21:10:28
83,Longyearbyen,78.2186,15.6401,48.04,87,75,5.75,SJ,2022-07-22 21:10:29
84,Ponta Do Sol,32.6667,-17.1,72.72,80,5,7.09,PT,2022-07-22 21:10:30
85,Tezu,27.9167,96.1667,76.26,82,94,2.73,IN,2022-07-22 21:10:30
86,Guerrero Negro,27.9769,-114.0611,77.04,55,26,19.91,MX,2022-07-22 21:10:31
87,East London,-33.0153,27.9116,68.29,39,11,7.25,ZA,2022-07-22 21:07:55
88,Talara,-4.5772,-81.2719,70.56,73,0,11.5,PE,2022-07-22 21:10:32
89,Merritt Island,28.5392,-80.672,92.17,67,0,14.97,US,2022-07-22 21:07:07
90,Kodiak,57.79,-152.4072,54.91,62,100,8.05,US,2022-07-22 21:10:32
91,Salalah,17.0151,54.0924,77.09,94,75,5.75,OM,2022-07-22 21:08:22
92,Rabo De Peixe,37.8,-25.5833,71.11,78,20,3.44,PT,2022-07-22 21:10:33
93,Lebu,-37.6167,-73.65,53.6,96,100,12.01,CL,2022-07-22 21:10:33
94,Busselton,-33.65,115.3333,59.59,79,55,18.57,AU,2022-07-22 21:10:34
95,Jinchang,38.4953,102.1739,69.28,37,0,6.78,CN,2022-07-22 21:11:34
96,Flinders,-34.5833,150.8552,52.18,93,65,5.99,AU,2022-07-22 21:11:35
97,Grindavik,63.8424,-22.4338,54.07,87,75,5.75,IS,2022-07-22 21:11:35
98,Husavik,66.0449,-17.3389,50.41,84,36,3.94,IS,2022-07-22 21:11:36
99,Sao Joao Da Barra,-21.6403,-41.0511,75.29,85,0,13.65,BR,2022-07-22 21:11:25
100,Isangel,-19.55,169.2667,77.25,82,100,11.07,VU,2022-07-22 21:11:36
101,Malindi,-3.2175,40.1191,74.75,78,9,16.82,KE,2022-07-22 21:11:37
102,Olingan,8.5314,123.3194,76.05,90,100,3.38,PH,2022-07-22 21:11:37
103,Bathsheba,13.2167,-59.5167,84.81,79,20,14.97,BB,2022-07-22 21:11:38
104,Kulhudhuffushi,6.6221,73.07,81.7,77,100,16.04,MV,2022-07-22 21:11:39
105,Mocuba,-16.8392,36.9856,62.56,92,0,1.03,MZ,2022-07-22 21:11:39
106,Iqaluit,63.7506,-68.5145,41.94,80,97,7.14,CA,2022-07-22 21:11:40
107,Dali,25.7,100.1833,62.96,92,100,1.68,CN,2022-07-22 21:11:40
108,Saint Anthony,45.0205,-93.218,94.89,39,0,13.8,US,2022-07-22 21:11:41
109,Havoysund,70.9963,24.6622,52.03,88,65,22.08,NO,2022-07-22 21:11:41
110,Normandin,48.8333,-72.5321,77.36,56,84,2.98,CA,2022-07-22 21:11:42
111,Tiksi,71.6872,128.8694,46.71,80,86,6.15,RU,2022-07-22 21:11:42
112,Praia Da Vitoria,38.7333,-27.0667,74.75,93,100,2.73,PT,2022-07-22 21:11:43
113,Narsaq,60.9167,-46.05,62.82,64,56,5.39,GL,2022-07-22 21:11:43
114,Santa Quiteria,-4.3319,-40.1567,84.72,41,54,7.2,BR,2022-07-22 21:11:44
